run_id,step,clock,exponent,from_vertex,to_vertex,savings,rank,n_options,probability,best_savings,worst_savings,mean_savings,efficiency,chirality,generation,coxeter_phase,fiber,segment_overlap,distance_3d,chirality_match,config
0,23,0,1,152,151,106,4,9,0.149376,382,9,124.2,0.2775,1,0,23,1,6,4.7405,True,center_vs_far
0,23,1,1,58,549,259,5,9,0.126639,694,134,319.4,0.3732,1,2,23,3,6,4.7405,True,center_vs_far
0,24,0,1,151,116,145,2,9,0.162132,148,23,95.9,0.9797,1,0,24,2,420,4.2533,False,center_vs_far
0,24,1,1,549,75,171,2,12,0.084765,259,4,108.4,0.6602,-1,2,24,7,420,4.2533,False,center_vs_far
0,25,0,1,116,574,335,4,10,0.246032,838,31,307.5,0.3998,-1,0,25,6,936,4.2533,True,center_vs_far
0,25,1,1,75,90,238,2,11,0.168569,399,16,107.4,0.5965,-1,2,25,7,936,4.2533,True,center_vs_far
0,26,0,1,574,151,148,8,12,0.104922,701,32,246.8,0.2111,-1,0,26,5,89,5.0525,True,center_vs_far
0,26,1,1,90,552,835,4,13,0.119005,1036,224,572.6,0.806,-1,0,26,8,89,5.0525,True,center_vs_far
0,27,0,1,151,111,23,9,9,0.033057,148,23,95.9,0.1554,-1,2,27,5,98,4.1866,False,center_vs_far
0,27,1,1,552,9,584,2,14,0.127856,835,29,286.9,0.6994,1,2,27,4,98,4.1866,False,center_vs_far
0,28,0,1,111,106,126,1,6,0.381708,126,1,47.2,1.0,1,2,28,1,386,3.8306,False,center_vs_far
0,28,1,1,9,552,584,2,13,0.086406,850,32,288.2,0.6871,-1,0,28,7,386,3.8306,False,center_vs_far
0,29,0,1,106,607,193,6,10,0.139791,662,28,255.3,0.2915,-1,1,29,5,388,3.0242,True,center_vs_far
0,29,1,1,552,4,582,3,14,0.068942,835,29,286.9,0.697,-1,0,29,8,388,3.0242,True,center_vs_far
0,30,0,1,607,604,37,4,9,0.111375,622,25,139.6,0.0595,-1,1,0,9,201,2.6563,False,center_vs_far
0,30,1,1,4,562,711,2,10,0.191305,718,32,349.9,0.9903,1,0,0,0,201,2.6563,False,center_vs_far
0,31,0,1,604,106,406,2,14,0.072715,435,8,170.9,0.9333,-1,0,1,7,165,4.0723,False,center_vs_far
0,31,1,1,562,25,491,5,14,0.105504,1034,153,398.6,0.4749,1,1,1,0,165,4.0723,False,center_vs_far
0,32,0,1,106,247,247,5,10,0.172105,662,28,255.3,0.3731,1,2,2,3,125,3.5473,True,center_vs_far
0,32,1,1,25,562,491,1,9,0.36754,491,12,140.1,1.0,1,0,2,4,125,3.5473,True,center_vs_far
0,33,0,1,247,106,247,1,10,0.207247,247,2,62.7,1.0,1,2,3,1,86,2.6563,True,center_vs_far
0,33,1,1,562,22,254,8,14,0.11461,1034,153,398.6,0.2456,1,1,3,4,86,2.6563,True,center_vs_far
0,34,0,1,106,607,193,6,10,0.04942,662,28,255.3,0.2915,1,1,4,1,281,3.2361,True,center_vs_far
0,34,1,1,22,21,136,2,11,0.155478,254,13,68.0,0.5354,1,1,4,4,281,3.2361,True,center_vs_far
0,35,0,1,607,253,34,7,9,0.076276,622,25,139.6,0.0547,1,1,5,4,46,3.1192,True,center_vs_far
0,35,1,1,21,33,322,3,13,0.185358,705,32,242.8,0.4567,1,1,5,1,46,3.1192,True,center_vs_far
0,36,0,1,253,114,15,8,9,0.01794,411,13,123.7,0.0365,1,0,6,0,59,3.6704,False,center_vs_far
0,36,1,1,33,40,142,7,13,0.111668,846,30,264.8,0.1678,-1,1,6,6,59,3.6704,False,center_vs_far
0,37,0,1,114,150,18,6,7,0.022632,475,15,185.9,0.0379,1,0,7,0,47,3.0242,True,center_vs_far
0,37,1,1,40,30,120,5,12,0.115152,148,4,86.4,0.8108,1,1,7,4,47,3.0242,True,center_vs_far
0,38,0,1,150,634,201,4,10,0.177549,347,12,118.0,0.5793,1,0,8,1,606,4.7,True,center_vs_far
0,38,1,1,30,39,521,1,7,0.237051,521,2,139.6,1.0,1,1,8,3,606,4.7,True,center_vs_far
0,39,0,1,634,131,337,6,14,0.176867,840,103,397.9,0.4012,1,0,9,2,43,4.1408,False,center_vs_far
0,39,1,1,39,53,700,1,9,0.219053,700,136,323.2,1.0,-1,1,9,7,43,4.1408,False,center_vs_far
0,40,0,1,131,634,337,1,10,0.367462,337,9,81.5,1.0,-1,0,10,6,211,3.7537,True,center_vs_far
0,40,1,1,53,48,402,2,12,0.091842,700,35,236.3,0.5743,-1,1,10,7,211,3.7537,True,center_vs_far
0,41,0,1,634,325,595,4,14,0.122398,840,103,397.9,0.7083,-1,0,11,5,490,3.0242,True,center_vs_far
0,41,1,1,48,577,255,2,9,0.193469,402,18,127.2,0.6343,-1,0,11,8,490,3.0242,True,center_vs_far
0,42,0,1,325,312,457,2,9,0.128644,595,8,181.2,0.7681,-1,1,12,5,63,4.3213,False,center_vs_far
0,42,1,1,577,144,218,10,13,0.124975,1031,148,411.8,0.2114,1,1,12,4,63,4.3213,False,center_vs_far
0,43,0,1,312,309,338,4,13,0.103114,719,30,262.3,0.4701,1,1,13,1,180,4.9944,False,center_vs_far
0,43,1,1,144,580,286,2,9,0.280965,421,7,123.2,0.6793,-1,0,13,7,180,4.9944,False,center_vs_far
0,44,0,1,309,261,142,5,9,0.108302,346,97,201.0,0.4104,-1,2,14,5,74,5.7063,True,center_vs_far
0,44,1,1,580,179,487,1,14,0.165051,487,26,185.5,1.0,-1,0,14,8,74,5.7063,True,center_vs_far
0,45,0,1,261,309,142,5,12,0.114774,263,10,110.4,0.5399,-1,2,15,9,80,5.7397,False,center_vs_far
0,45,1,1,179,586,134,9,10,0.09808,842,32,308.2,0.1591,1,0,15,0,80,5.7397,False,center_vs_far
0,46,0,1,309,705,339,2,9,0.136533,346,97,201.0,0.9798,-1,0,16,7,399,5.8884,False,center_vs_far
0,46,1,1,586,56,32,4,7,0.128785,238,1,75.7,0.1345,1,2,16,0,399,5.8884,False,center_vs_far
0,47,0,1,705,413,484,3,13,0.123918,707,32,270.7,0.6846,1,1,17,3,76,5.3105,True,center_vs_far
0,47,1,1,56,579,200,6,10,0.181307,703,29,266.7,0.2845,1,0,17,4,76,5.3105,True,center_vs_far
0,48,0,1,413,259,609,1,9,0.328332,609,12,190.4,1.0,1,1,18,1,935,4.8598,True,center_vs_far
0,48,1,1,579,141,623,1,8,0.228261,623,24,125.5,1.0,1,2,18,4,935,4.8598,True,center_vs_far
0,49,0,1,259,253,223,10,14,0.075111,849,158,405.6,0.2627,1,2,19,1,145,4.1408,True,center_vs_far
0,49,1,1,141,569,1037,1,13,0.11629,1037,225,557.0,1.0,1,2,19,4,145,4.1408,True,center_vs_far
0,50,0,1,253,610,35,5,9,0.068988,411,13,123.7,0.0852,1,2,20,4,151,4.1408,True,center_vs_far
0,50,1,1,569,141,1037,1,14,0.119952,1037,153,399.5,1.0,1,2,20,1,151,4.1408,True,center_vs_far
